GalaxyName         RA e1 e2   Dec e3 e4 EB-V  (m-M)o e5  e6   vh(km/s) Vmag e7  e8  PA     e=1-b/a  muVo  rh(')   e9    e10  vsig_s e11  e12  vrot_s e13  e14   MHI   Data Key vsig_g  e15  e16  vrot_g notes
AndromedaXXX            00 36 34.9  49 38 48 0.166 24.17 0.10 0.26 -139.8   16.2 0.3 0.3 999.9  9.99     99.9    1.35  0.12  0.18 11.8   7.7  4.7 99.9   99.9 99.9  99.9 x      u 99.9   99.9 99.9 999.9 
AndromedaXIV       0 51 35.0  29 41 49 0.060 24.50 0.06 0.56 -480.6   15.9 0.5 0.5 999.9  0.31     27.2    1.70  0.80  0.80  5.3   1.0  1.0 99.9   99.9 99.9  00.0      x u 00.0   00.0 00.0  00.0 202)
AndromedaXII       0 47 27.0  34 22 29 0.110 24.84 0.09 0.34 -558.4   18.3 1.2 1.2 999.9  9.99     28.5    1.20  0.20  0.20  2.6   5.1  2.6 99.9   99.9 99.9  00.0      x u 00.0   00.0 00.0  00.0 (207)
AndromedaXV        1 14 18.7  38  7  3 0.047 23.98 0.26 0.12 -323.0   14.6 0.3 0.3   0.0  0.00     24.8    1.21  0.05  0.05  4.0   1.4  1.4 99.9   99.9 99.9  00.0      x u 00.0   00.0 00.0  00.0 202)
AndromedaII        1 16 29.8  33 25  9 0.061 24.07 0.06 0.06 -192.4   11.5 0.2 0.2  34.0  0.20     24.5    6.20  0.20  0.20  7.8   1.1  1.1 10.9    2.4  2.4  4.65   gs  u 00.0   00.0 00.0  00.0 204)
NGC185             0 38 58.0  48 20 15 0.184 23.95 0.09 0.09 -203.8    9.2 0.1 0.1  35.0  0.15     20.8    2.55  9.99  9.99 24.0   1.0  1.0 15.0    5.0  5.0  0.11     x  u 15.3    0.8  0.8  00.0 
AndromedaXXIX     23 58 55.6  30 45 20 0.046 24.32 0.22 0.22 -194.4   16.0 0.4 0.4  51.0  0.35     99.9    1.70  0.20  0.20  5.7   1.2  1.2 99.9   99.9 99.9  99.9     x  u 99.9   99.9 99.9  99.9 
Triangulum          1 33 50.9  30 39 37 0.041 24.54 0.06 0.06 -179.2    5.7 0.1 0.1 999.9  9.99     99.9   99.99  9.99  9.99 99.9  99.9 99.9 99.9   99.9 99.9  99.9    x   u 99.9   99.9 99.9  99.9 
AndromedaXXIV      1 18 30.0  46 21 58 0.083 23.89 0.12 0.12 -128.2   16.3 0.5 0.5   5.0  0.25     27.8    2.10  0.10  0.10 99.9  99.9 99.9 99.9   99.9 99.9  99.9     x  u 99.9   99.9 99.9  99.9 
AndromedaVII      23 26 31.7  50 40 33 0.194 24.41 0.10 0.10 -307.2   11.2 0.3 0.3  94.0  0.13     23.2    3.50  0.10  0.10 13.0   1.0  1.0 99.9   99.9 99.9  00.0     x  u 00.0   00.0 00.0  00.0 201)
IC10               0 20 17.3  59 18 14 1.568 24.50 0.12 0.12 -348.0    9.5 0.2 0.2 999.9  0.19     24.6    2.65  9.99  9.99 99.9  99.9 99.9 99.9   99.9 99.9  50.0     x  u  8.0    1.0  1.0  34.0 45)(146)(196)
AndromedaXXXI           22 58 16.3  41 17 28 0.133 24.40 0.12 0.12  999.9   12.7 0.7 0.7 -59.0  0.43     25.8    4.20  0.40  0.50 99.9  99.9 99.9 99.9   99.9 99.9  99.9 x      u 99.9   99.9 99.9 999.9 
LGS3               1  3 55.0  21 53  6 0.040 24.43 0.07 0.07 -286.5   14.3 0.1 0.1   0.0  0.20     24.8    2.10  0.20  0.20  7.9   5.3  2.9 99.9   99.9 99.9  0.38      x u  9.1    0.3  0.3   5.0  	   
AndromedaVI       23 51 46.3  24 34 57 0.063 24.47 0.07 0.07 -339.8   13.0 0.2 0.2 163.0  0.41     24.1    2.30  0.20  0.20 12.4   1.5  1.3 99.9   99.9 99.9  00.0      x u 00.0   00.0 00.0  00.0 130)(207) 
AndromedaXXII      1 27 40.0  28  5 25 0.079 24.82 0.07 0.36 -129.8   18.0 0.8 0.8 114.0  0.56     26.7    0.94  0.10  0.10  2.8   1.9  1.4 99.9   99.9 99.9  99.9    x   u 99.9   99.9 99.9  99.9 (212)
AndromedaXVI       0 59 29.8  32 22 36 0.067 23.39 0.19 0.14 -367.3   14.4 0.3 0.3   0.0  0.00     23.9    0.89  0.05  0.05  3.8   2.9  2.9 99.9   99.9 99.9  00.0    x   u 00.0   00.0 00.0  00.0 202)
AndromedaXXVIII   22 32 41.2  31 12 58 0.096 24.10 0.50 0.20 -326.2   15.6 0.4 0.9  39.0  0.34     26.3    1.11  0.21  0.21  6.6   2.9  2.1 99.9   99.9 99.9  99.9    x   u 99.9   99.9 99.9  99.9 
AndromedaXXXIII         03 01 23.6  40 59 18 0.131 24.44 0.18 0.18  999.9   14.1 0.7 0.7  -6.0  0.43     25.6    1.70  0.40  0.40 99.9  99.9 99.9 99.9   99.9 99.9  99.9    x   u 99.9   99.9 99.9 999.9 
IC1613             1  4 47.8   2  7  4 0.025 24.39 0.12 0.12 -231.6    9.2 0.1 0.1  50.0  0.11     22.8    6.81  9.99  9.99 10.8   1.0  0.9 99.9   99.9 99.9  65.0    x   u  5.9    1.0  1.0  25.0 49)(217)
Phoenix             1 51  6.3 -44 26 41 0.016 23.09 0.10 0.10  -13.0   13.2 0.4 0.4   5.0  0.40     25.8    3.76  9.99  9.99 99.9  99.9 99.9 99.9   99.9 99.9  0.12    x   u 10.0    4.0  4.0  00.0 150)
Eridanus2          3 44 21.1 -43 32 00 9.999 22.90 0.20 0.20  999.9   16.3 0.1 0.1  81.0  0.40     99.9    1.53  0.14  0.09 99.9  99.9 99.9 99.9   99.9 99.9  99.9     x  u 99.9   99.9 99.9 999.9   
NGC6822           19 44 56.6 -14 47 21 0.231 23.31 0.08 0.08  -54.5    8.1 0.2 0.2 330.0  0.24     19.7    2.65  9.99  9.99 23.2   1.2  1.2 99.9   99.9 99.9  130.     x  u  5.8    1.9  1.9  47.0 51)(197)(217)
Cetus               0 26 11.0 -11  2 40 0.029 24.39 0.07 0.07  -83.9   13.1 0.2 0.2  63.0  0.33     25.0    3.20  0.10  0.10  8.3   1.0  1.0  7.7    1.2  1.2  00.0    x   u 00.0   00.0 00.0  00.0 217)
PegasusdIrr       23 28 36.3  14 44 35 0.068 24.82 0.07 0.07 -179.5   12.6 0.2 0.2 120.0  0.46     22.8    2.10  0.04  0.04 12.3   1.2  1.1 10.0    0.3  0.3   5.9    x   u  9.0   99.9 99.9  21.0 7)
LeoT               9 34 53.4  17  3  5 0.031 23.10 0.10 0.10   38.1   15.1 0.5 0.5   0.0  0.00     24.8    0.99  0.06  0.06  7.5   1.6  1.6 99.9   99.9 99.9  0.28    x   u  6.9    1.0  1.0  00.0 79)(180)
WLM                 0  1 58.2 -15 27 39 0.038 24.85 0.08 0.08 -130.0   10.6 0.1 0.1 179.0  0.55     23.7    8.62  0.26  0.26 17.5   2.0  2.0 17.0    1.0  1.0  61.0   x    u  4.5    1.0  1.0  30.0 05)
AndromedaXVIII     0  2 14.5  45  5 20 0.106 25.42 0.07 0.08 -332.1   16.0 9.9 9.9 999.9  9.99     25.6    0.92  0.06  0.06  9.7   2.3  2.3 99.9   99.9 99.9  99.9    x   u 99.9   99.9 99.9  99.9 	  
LeoA               9 59 26.5  30 44 47 0.021 24.51 0.12 0.12   24.0   12.4 0.2 0.2 114.0  0.40     22.8    2.15  9.99  9.99  6.7   1.4  1.2 00.0   00.0 00.0  11.0    x   u  9.3    1.4  1.4  00.0 55)(198)(217)
Aquarius           20 46 51.8 -12 50 53 0.051 25.15 0.08 0.08 -137.7   14.5 0.1 0.1  98.7  0.50     23.6    1.47  0.04  0.04  7.9   1.9  1.6 99.9   99.9 99.9   4.1   x    u  5.8    0.1  0.1  00.0 
Tucana             22 41 49.6 -64 25 10 0.031 24.74 0.12 0.12  194.0   15.2 0.2 0.2  97.0  0.48     25.0    1.10  0.20  0.20 15.8   4.1  3.1 16.0   99.9 99.9  00.0   x    u 00.0   00.0 00.0  00.0 
SagittariusdIrr   19 29 59.0 -17 40 51 0.124 25.14 0.18 0.18  -78.5   13.6 0.2 0.2  90.0  0.50     23.9    0.91  0.05  0.05 99.9  99.9 99.9 99.9   99.9 99.9   8.8    x   u 10.0    1.0  1.0   0.0 
UGC4879            9 16  2.2  52 50 24 0.016 25.67 0.04 0.04  -29.2   13.2 0.2 0.2  84.2  0.44     21.2    0.41  0.04  0.04  9.6   1.3  1.2 99.9   99.9 99.9  0.95    x   u 11.0    1.1  1.1  00.0 13)(217)
AntliaB           09 48 56.1 -25 59 24 0.069 25.56 0.16 0.16  376.0   15.9 0.6 0.6   4.0  0.30     99.9    0.72  0.07  0.07 99.9  99.9 99.9 99.9   99.9 99.9  0.28    x   u 0.02   0.02 99.9 999.9 
