# 		      cubename        cra       cdec     min_ra     max_ra    min_dec    max_dec
GALFA_HI_RA+DEC_324.00+26.35_W     324.00      26.35     319.74     328.26      22.09      30.61
GALFA_HI_RA+DEC_324.00+34.35_W     324.00      34.35     319.74     328.26      30.09      38.00
GALFA_HI_RA+DEC_332.00+02.35_W     332.00       2.35     327.74     336.26      -1.34       6.61
GALFA_HI_RA+DEC_332.00+10.35_W     332.00      10.35     327.74     336.26       6.09      14.61
GALFA_HI_RA+DEC_332.00+18.35_W     332.00      18.35     327.74     336.26      14.09      22.61
GALFA_HI_RA+DEC_332.00+26.35_W     332.00      26.35     327.74     336.26      22.09      30.61
GALFA_HI_RA+DEC_332.00+34.35_W     332.00      34.35     327.74     336.26      30.09      38.00
GALFA_HI_RA+DEC_340.00+02.35_W     340.00       2.35     335.74     344.26      -1.34       6.61
GALFA_HI_RA+DEC_340.00+10.35_W     340.00      10.35     335.74     344.26       6.09      14.61
GALFA_HI_RA+DEC_340.00+18.35_W     340.00      18.35     335.74     344.26      14.09      22.61
GALFA_HI_RA+DEC_340.00+26.35_W     340.00      26.35     335.74     344.26      22.09      30.61
GALFA_HI_RA+DEC_340.00+34.35_W     340.00      34.35     335.74     344.26      30.09      38.00
GALFA_HI_RA+DEC_348.00+02.35_W     348.00       2.35     343.74     352.26      -1.34       6.61
GALFA_HI_RA+DEC_348.00+10.35_W     348.00      10.35     343.74     352.26       6.09      14.61
GALFA_HI_RA+DEC_348.00+18.35_W     348.00      18.35     343.74     352.26      14.09      22.61
GALFA_HI_RA+DEC_348.00+26.35_W     348.00      26.35     343.74     352.26      22.09      30.61
GALFA_HI_RA+DEC_348.00+34.35_W     348.00      34.35     343.74     352.26      30.09      38.00
GALFA_HI_RA+DEC_356.00+02.35_W     356.00       2.35     351.74     360.26      -1.34       6.61
GALFA_HI_RA+DEC_356.00+10.35_W     356.00      10.35     351.74     360.26       6.09      14.61
GALFA_HI_RA+DEC_356.00+18.35_W     356.00      18.35     351.74     360.26      14.09      22.61
GALFA_HI_RA+DEC_356.00+26.35_W     356.00      26.35     351.74     360.26      22.09      30.61
GALFA_HI_RA+DEC_356.00+34.35_W     356.00      34.35     351.74     360.26      30.09      38.00
